Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
124539-145304,C/PF,Onyeka,Onyeka Okongwu,Okongwu,34.123077392578125,26,7600,ATL@CHA,ATL,CHA,,,,,,PF/C
124539-145334,SG/SF,Desmond,Desmond Bane,Bane,32.43846247746394,26,7600,ORL@DEN,ORL,DEN,,,,,,SG/SF
124539-157851,SF/PF,Franz,Franz Wagner,Wagner,38.34166717529297,24,7500,ORL@DEN,ORL,DEN,O,Ankle,,,,SF/PF
124539-228135,SF/SG,Kon,Kon Knueppel,Knueppel,31.23076923076923,26,7500,ATL@CHA,CHA,ATL,,,,,,SG/SF
124539-203723,SG/PG,Stephon,Stephon Castle,Castle,37.118751525878906,16,7500,WAS@SA,SA,WAS,,,,,,PG/SG
124539-188419,SF/SG,Brandon,Brandon Miller,Miller,30.410000610351563,10,7400,ATL@CHA,CHA,ATL,,,,,,SG/SF
124539-70827,C,Ivica,Ivica Zubac,Zubac,36.06923029972957,26,7400,LAC@OKC,LAC,OKC,,,,,,C
124539-110352,PF/SF,P.J.,P.J. Washington,Washington,33.21818126331676,22,7400,DET@DAL,DAL,DET,,,,,,SF/PF
124539-171779,C,Jalen,Jalen Duren,Duren,36.84347932235055,23,7300,DET@DAL,DET,DAL,,,,,,C
124539-228132,PF/C,Derik,Derik Queen,Queen,29.48518428096065,27,7300,HOU@NO,NO,HOU,,,,,,PF/C
124539-171772,PG/SG,Ryan,Ryan Rollins,Rollins,33.89259168836806,27,7200,TOR@MIL,MIL,TOR,,,,,,PG/SG
124539-171804,SG/PG,Shaedon,Shaedon Sharpe,Sharpe,32.87272782759233,22,7200,SAC@POR,POR,SAC,,,,,,PG/SG
124539-68090,SF/PF,OG,OG Anunoby,Anunoby,31.575000762939453,16,7100,NY@IND,NY,IND,Q,Knee,,,,SF/PF
124539-16293,SF/SG,Norman,Norman Powell,Powell,34.93333217075893,21,7100,MIA@BKN,MIA,BKN,Q,Calf,,,,SG/SF
124539-145348,PG/SG,Immanuel,Immanuel Quickley,Quickley,32.59615384615385,26,7100,TOR@MIL,TOR,MIL,,,,,,PG/SG
124539-157850,PG/SG,Jalen,Jalen Suggs,Suggs,31.599998837425595,21,7000,ORL@DEN,ORL,DEN,O,Hip,,,,PG/SG
124539-171784,SG/PG,Dyson,Dyson Daniels,Daniels,33,27,7000,ATL@CHA,ATL,CHA,,,,,,PG/SG
124539-110354,C,Nic,Nic Claxton,Claxton,33.68,25,6900,MIA@BKN,BKN,MIA,,,,,,C
124539-171747,PG/SG,Andrew,Andrew Nembhard,Nembhard,30.872222900390625,18,6800,NY@IND,IND,NY,,,,,,PG/SG
124539-203722,SF/SG,Kyshawn,Kyshawn George,George,31.731817072088067,22,6800,WAS@SA,WAS,SA,,,,,,SG/SF
124539-23831,PF/SF,Jerami,Jerami Grant,Grant,30.32800048828125,25,6700,SAC@POR,POR,SAC,,,,,,SF/PF
124539-171787,PF/SF,Keegan,Keegan Murray,Murray,35.17272671786222,11,6700,SAC@POR,SAC,POR,,,,,,SF/PF
124539-171746,SG/SF,Bennedict,Bennedict Mathurin,Mathurin,29.95999959309896,15,6600,NY@IND,IND,NY,,,,,,SG/SF
124539-49116,SF/PF,Andrew,Andrew Wiggins,Wiggins,31.608695652173914,23,6600,MIA@BKN,MIA,BKN,,,,,,SF/PF
124539-9714,SF/PF,DeMar,DeMar DeRozan,DeRozan,30.01538555438702,26,6500,SAC@POR,SAC,POR,,,,,,SF/PF
124539-188408,PG/SG,Anthony,Anthony Black,Black,26.557692307692307,26,6500,ORL@DEN,ORL,DEN,,,,,,PG/SG
124539-19067,SG/PG,CJ,CJ McCollum,McCollum,29.183334350585938,24,6400,WAS@SA,WAS,SA,,,,,,PG/SG
124539-84673,C,Deandre,Deandre Ayton,Ayton,30.878261400305707,23,6400,LAL@UTA,LAL,UTA,O,Elbow,,,,C
124539-55057,C,Jusuf,Jusuf Nurkic,Nurkic,28.804347826086957,23,6300,LAL@UTA,UTA,LAL,,,,,,C
124539-80825,C,Isaiah,Isaiah Hartenstein,Hartenstein,33.745001220703124,20,6300,LAC@OKC,OKC,LAC,O,Rest,,,,C
