Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
124495-66113,SG/PG,Donovan,Donovan Mitchell,Mitchell,46.4760009765625,25,9700,CLE@CHI,CLE,CHI,,,,,,PG/SG
124495-157905,PG/SG,Josh,Josh Giddey,Giddey,44.99130647078805,23,9400,CLE@CHI,CHI,CLE,,,,,,PG/SG
124495-145321,SG/SF,Anthony,Anthony Edwards,Edwards,43.22999877929688,20,9300,MEM@MIN,MIN,MEM,Q,Foot,,,,SG/SF
124495-42669,PF,Julius,Julius Randle,Randle,41.37692495492789,26,8900,MEM@MIN,MIN,MEM,,,,,,PF
124495-110344,PG,Ja,Ja Morant,Morant,33.02142769949777,14,7700,MEM@MIN,MEM,MIN,Q,Ankle,,,,PG
124495-110342,PG,Darius,Darius Garland,Garland,28.80909035422585,11,7200,CLE@CHI,CLE,CHI,,,,,,PG
124495-110326,SG/PG,Coby,Coby White,White,32.25555419921875,9,7100,CLE@CHI,CHI,CLE,,,,,,PG/SG
124495-84683,PF/C,Jaren,Jaren Jackson,Jackson,30.3249994913737,24,7000,MEM@MIN,MEM,MIN,,,,,,PF/C
124495-110995,C/PF,Naz,Naz Reid,Reid,29.20384568434495,26,6700,MEM@MIN,MIN,MEM,,,,,,PF/C
124495-145319,SF/PF,Jaden,Jaden McDaniels,McDaniels,29.9639990234375,25,6600,MEM@MIN,MIN,MEM,,,,,,SF/PF
124495-157844,PF/C,Santi,Santi Aldama,Aldama,28.95384568434495,26,6500,MEM@MIN,MEM,MIN,,,,,,PF/C
124495-14514,C,Nikola,Nikola Vucevic,Vucevic,33.11666615804037,24,6400,CLE@CHI,CHI,CLE,,,,,,C
124495-84681,SG/PG,Donte,Donte DiVincenzo,DiVincenzo,27.861539400540867,26,6300,MEM@MIN,MIN,MEM,,,,,,PG/SG
124495-203728,SF/SG,Jaylon,Jaylon Tyson,Tyson,26.87272782759233,22,6300,CLE@CHI,CLE,CHI,,,,,,SG/SF
124495-40203,C,Rudy,Rudy Gobert,Gobert,30.888460599459133,26,6200,MEM@MIN,MIN,MEM,,,,,,C
124495-80821,C/PF,Jarrett,Jarrett Allen,Allen,29.087499618530273,16,6100,CLE@CHI,CLE,CHI,,,,,,PF/C
124495-203761,PF/SF,Matas,Matas Buzelis,Buzelis,27.3639990234375,25,5900,CLE@CHI,CHI,CLE,,,,,,SF/PF
124495-203777,SG/PG,Cam,Cam Spencer,Spencer,21.98846200796274,26,5800,MEM@MIN,MEM,MIN,O,Personal,,,,PG/SG
124495-228127,SG/SF,Cedric,Cedric Coward,Coward,26.073077862079327,26,5600,MEM@MIN,MEM,MIN,,,,,,SG/SF
124495-203776,SG/SF,Jaylen,Jaylen Wells,Wells,21.00384521484375,26,5400,MEM@MIN,MEM,MIN,,,,,,SG/SF
124495-157849,SG,Ayo,Ayo Dosunmu,Dosunmu,24.164999389648436,20,5300,CLE@CHI,CHI,CLE,Q,Thumb,,,,SG
124495-145323,SG/PG,Tre,Tre Jones,Jones,27.857894094366777,19,5200,CLE@CHI,CHI,CLE,,,,,,PG/SG
124495-110338,SF/PF,De'Andre,De'Andre Hunter,Hunter,24.860869034476902,23,5100,CLE@CHI,CLE,CHI,,,,,,SF/PF
124495-157834,PG,Bones,Bones Hyland,Hyland,9.45882370892693,17,5000,MEM@MIN,MIN,MEM,,,,,,PG
124495-80806,PG,Lonzo,Lonzo Ball,Ball,21.685000610351562,20,4700,CLE@CHI,CLE,CHI,,,,,,PG
124495-84704,SF/SG,Kevin,Kevin Huerter,Huerter,23.1,20,4600,CLE@CHI,CHI,CLE,,,,,,SG/SF
124495-158137,C,Jock,Jock Landale,Landale,21.400000939002403,26,4500,MEM@MIN,MEM,MIN,,,,,,C
124495-15636,SG/SF,Kentavious,Kentavious Caldwell-Pope,Caldwell-Pope,17.146153376652645,26,4200,MEM@MIN,MEM,MIN,,,,,,SG/SF
124495-145322,C,Jalen,Jalen Smith,Smith,20.55,20,4100,CLE@CHI,CHI,CLE,,,,,,C
124495-171756,SG/PG,Vince,Vince Williams,Williams,22.14761933826265,21,4100,MEM@MIN,MEM,MIN,,,,,,PG/SG
124495-189467,PG,Craig,Craig Porter,Porter,16.104166666666668,24,4000,CLE@CHI,CLE,CHI,,,,,,PG
124495-110883,PF/SF,Dean,Dean Wade,Wade,16.58,25,4000,CLE@CHI,CLE,CHI,,,,,,SF/PF
124495-110353,C/PF,Brandon,Brandon Clarke,Clarke,19.487499237060547,64,3900,MEM@MIN,MEM,MIN,Q,Knee,,,,PF/C
124495-145317,SF/SG,Sam,Sam Merrill,Merrill,21.208333333333332,12,3900,CLE@CHI,CLE,CHI,O,Hand,,,,SG/SF
124495-80815,C/PF,Zach,Zach Collins,Collins,15.75,4,3900,CLE@CHI,CHI,CLE,,,,,,PF/C
